timestamp,location_id,hour,is_weekend,weather,event,traffic_volume,average_speed,congestion_level
2026-01-08 00:00:00.872539,bandra_worli_sea_link,0,False,Cloudy,None,36,43.0,Medium
2026-01-08 00:00:00.872539,western_express_highway,0,False,Cloudy,None,34,47.51,Low
2026-01-08 00:00:00.872539,eastern_express_highway,0,False,Cloudy,None,42,43.87,Medium
2026-01-08 00:00:00.872539,dadar_tt,0,False,Rainy,None,55,32.5,Medium
2026-01-08 00:00:00.872539,saki_naka,0,False,Rainy,None,46,42.63,Medium
2026-01-08 00:00:00.872539,jvlr,0,False,Clear,None,50,42.7,Medium
2026-01-08 00:00:00.872539,colaba_causeway,0,False,Rainy,VIP Movement,52,39.49,Medium
2026-01-08 00:00:00.872539,link_road,0,False,Cloudy,Accident,62,35.23,Medium
2026-01-08 01:00:00.872539,bandra_worli_sea_link,1,False,Cloudy,None,49,40.55,Medium
2026-01-08 01:00:00.872539,western_express_highway,1,False,Clear,None,35,40.36,Medium
2026-01-08 01:00:00.872539,eastern_express_highway,1,False,Rainy,None,36,42.43,Medium
2026-01-08 01:00:00.872539,dadar_tt,1,False,Clear,None,37,43.15,Medium
2026-01-08 01:00:00.872539,saki_naka,1,False,Clear,None,31,47.09,Low
2026-01-08 01:00:00.872539,jvlr,1,False,Rainy,None,27,50.61,Low
2026-01-08 01:00:00.872539,colaba_causeway,1,False,Rainy,Cricket Match,60,33.88,Medium
2026-01-08 01:00:00.872539,link_road,1,False,Cloudy,None,20,54.63,Low
2026-01-08 02:00:00.872539,bandra_worli_sea_link,2,False,Rainy,None,39,47.88,Low
2026-01-08 02:00:00.872539,western_express_highway,2,False,Cloudy,None,41,42.26,Medium
2026-01-08 02:00:00.872539,eastern_express_highway,2,False,Rainy,None,41,46.18,Low
2026-01-08 02:00:00.872539,dadar_tt,2,False,Rainy,None,39,43.8,Medium
2026-01-08 02:00:00.872539,saki_naka,2,False,Rainy,None,54,36.76,Medium
2026-01-08 02:00:00.872539,jvlr,2,False,Cloudy,None,41,36.89,Medium
2026-01-08 02:00:00.872539,colaba_causeway,2,False,Cloudy,None,25,49.02,Low
2026-01-08 02:00:00.872539,link_road,2,False,Clear,None,26,54.29,Low
2026-01-08 03:00:00.872539,bandra_worli_sea_link,3,False,Clear,None,28,52.62,Low
2026-01-08 03:00:00.872539,western_express_highway,3,False,Foggy,None,38,41.36,Medium
2026-01-08 03:00:00.872539,eastern_express_highway,3,False,Rainy,None,28,50.1,Low
